Place,YEAR,MONTH,Labor Force,Employed,Unemployed,Unemployment Rate,,,,,,,,,,,
NYS,1989,11,8752551,8296356,456195, 5.2 ,,,,,,,,,,,
NYS,1989,12,8775180,8316742,458438, 5.2 ,,,,,,,,,,,
NYS,1990,1,8796154,8338055,458099, 5.2 ,,,,,,,,,,,
NYS,1990,2,8812167,8357217,454950, 5.2 ,,,,,,,,,,,
NYS,1990,3,8821532,8370923,450609, 5.1 ,,,,,,,,,,,
NYS,1990,4,8824908,8377690,447218, 5.1 ,,,,,,,,,,,
NYS,1990,5,8825081,8378472,446609, 5.1 ,,,,,,,,,,,
NYS,1990,6,8823069,8373371,449698, 5.1 ,,,,,,,,,,,
NYS,1990,7,8820754,8364181,456573, 5.2 ,,,,,,,,,,,
NYS,1990,8,8818372,8351164,467208, 5.3 ,,,,,,,,,,,
NYS,1990,9,8813305,8332587,480718, 5.5 ,,,,,,,,,,,
NYS,1990,10,8804304,8307610,496694, 5.6 ,,,,,,,,,,,
NYS,1990,11,8793744,8278987,514757, 5.9 ,,,,,,,,,,,
NYS,1990,12,8784321,8249326,534995, 6.1 ,,,,,,,,,,,
NYS,1991,1,8777929,8219779,558150, 6.4 ,,,,,,,,,,,
NYS,1991,2,8775940,8192963,582977, 6.6 ,,,,,,,,,,,
NYS,1991,3,8775539,8169223,606316, 6.9 ,,,,,,,,,,,
NYS,1991,4,8773441,8148418,625023, 7.1 ,,,,,,,,,,,
NYS,1991,5,8767616,8130636,636980, 7.3 ,,,,,,,,,,,
NYS,1991,6,8757553,8115530,642023, 7.3 ,,,,,,,,,,,
NYS,1991,7,8743327,8100769,642558, 7.3 ,,,,,,,,,,,
NYS,1991,8,8727816,8084980,642836, 7.4 ,,,,,,,,,,,
NYS,1991,9,8715680,8068393,647287, 7.4 ,,,,,,,,,,,
NYS,1991,10,8708582,8050294,658288, 7.6 ,,,,,,,,,,,
NYS,1991,11,8705941,8031299,674642, 7.7 ,,,,,,,,,,,
NYS,1991,12,8706137,8013353,692784, 8.0 ,,,,,,,,,,,
NYS,1992,1,8708926,7999171,709755, 8.1 ,,,,,,,,,,,
NYS,1992,2,8714912,7990052,724860, 8.3 ,,,,,,,,,,,
NYS,1992,3,8725365,7987568,737797, 8.5 ,,,,,,,,,,,
NYS,1992,4,8740047,7990891,749156, 8.6 ,,,,,,,,,,,
NYS,1992,5,8754894,7995743,759151, 8.7 ,,,,,,,,,,,
NYS,1992,6,8766480,7999215,767265, 8.8 ,,,,,,,,,,,
NYS,1992,7,8773818,8001004,772814, 8.8 ,,,,,,,,,,,
NYS,1992,8,8776018,8001319,774699, 8.8 ,,,,,,,,,,,
NYS,1992,9,8772947,8000418,772529, 8.8 ,,,,,,,,,,,
NYS,1992,10,8766374,8000168,766206, 8.7 ,,,,,,,,,,,
NYS,1992,11,8756812,8000282,756530, 8.6 ,,,,,,,,,,,
NYS,1992,12,8745286,8000812,744474, 8.5 ,,,,,,,,,,,
NYS,1993,1,8733683,8003049,730634, 8.4 ,,,,,,,,,,,
NYS,1993,2,8723152,8007237,715915, 8.2 ,,,,,,,,,,,
NYS,1993,3,8715644,8013517,702127, 8.1 ,,,,,,,,,,,
NYS,1993,4,8711654,8021349,690305, 7.9 ,,,,,,,,,,,
NYS,1993,5,8711124,8029031,682093, 7.8 ,,,,,,,,,,,
NYS,1993,6,8713337,8034630,678707, 7.8 ,,,,,,,,,,,
NYS,1993,7,8715058,8036330,678728, 7.8 ,,,,,,,,,,,
NYS,1993,8,8715040,8035066,679974, 7.8 ,,,,,,,,,,,
NYS,1993,9,8714887,8034395,680492, 7.8 ,,,,,,,,,,,
NYS,1993,10,8715671,8035928,679743, 7.8 ,,,,,,,,,,,
NYS,1993,11,8718020,8039549,678471, 7.8 ,,,,,,,,,,,
NYS,1993,12,8721201,8045541,675660, 7.7 ,,,,,,,,,,,
NYS,1994,1,8721845,8052421,669424, 7.7 ,,,,,,,,,,,
NYS,1994,2,8716537,8057256,659281, 7.6 ,,,,,,,,,,,
NYS,1994,3,8704544,8057843,646701, 7.4 ,,,,,,,,,,,
NYS,1994,4,8688016,8054927,633089, 7.3 ,,,,,,,,,,,
NYS,1994,5,8671546,8052095,619451, 7.1 ,,,,,,,,,,,
NYS,1994,6,8659424,8052845,606579, 7.0 ,,,,,,,,,,,
NYS,1994,7,8654246,8059480,594766, 6.9 ,,,,,,,,,,,
NYS,1994,8,8654979,8071359,583620, 6.7 ,,,,,,,,,,,
NYS,1994,9,8658712,8086242,572470, 6.6 ,,,,,,,,,,,
NYS,1994,10,8662816,8102511,560305, 6.5 ,,,,,,,,,,,
NYS,1994,11,8666851,8118839,548012, 6.3 ,,,,,,,,,,,
NYS,1994,12,8669405,8130782,538623, 6.2 ,,,,,,,,,,,
NYS,1995,1,8668788,8134523,534265, 6.2 ,,,,,,,,,,,
NYS,1995,2,8665605,8131282,534323, 6.2 ,,,,,,,,,,,
NYS,1995,3,8661084,8123523,537561, 6.2 ,,,,,,,,,,,
NYS,1995,4,8656628,8113625,543003, 6.3 ,,,,,,,,,,,
NYS,1995,5,8654154,8105053,549101, 6.3 ,,,,,,,,,,,
NYS,1995,6,8654069,8100273,553796, 6.4 ,,,,,,,,,,,
NYS,1995,7,8656212,8099536,556676, 6.4 ,,,,,,,,,,,
NYS,1995,8,8659665,8101908,557757, 6.4 ,,,,,,,,,,,
NYS,1995,9,8662646,8106073,556573, 6.4 ,,,,,,,,,,,
NYS,1995,10,8664429,8110815,553614, 6.4 ,,,,,,,,,,,
NYS,1995,11,8665220,8115847,549373, 6.3 ,,,,,,,,,,,
NYS,1995,12,8667829,8122020,545809, 6.3 ,,,,,,,,,,,
NYS,1996,1,8676288,8131307,544981, 6.3 ,,,,,,,,,,,
NYS,1996,2,8692038,8144391,547647, 6.3 ,,,,,,,,,,,
NYS,1996,3,8713366,8161184,552182, 6.3 ,,,,,,,,,,,
NYS,1996,4,8736676,8181321,555355, 6.4 ,,,,,,,,,,,
NYS,1996,5,8758880,8204109,554771, 6.3 ,,,,,,,,,,,
NYS,1996,6,8779097,8228714,550383, 6.3 ,,,,,,,,,,,
NYS,1996,7,8798180,8254302,543878, 6.2 ,,,,,,,,,,,
NYS,1996,8,8817324,8278693,538631, 6.1 ,,,,,,,,,,,
NYS,1996,9,8836157,8297868,538289, 6.1 ,,,,,,,,,,,
NYS,1996,10,8854420,8310147,544273, 6.1 ,,,,,,,,,,,
NYS,1996,11,8872559,8317522,555037, 6.3 ,,,,,,,,,,,
NYS,1996,12,8891400,8324338,567062, 6.4 ,,,,,,,,,,,
NYS,1997,1,8911659,8333905,577754, 6.5 ,,,,,,,,,,,
NYS,1997,2,8933963,8348269,585694, 6.6 ,,,,,,,,,,,
NYS,1997,3,8958859,8368885,589974, 6.6 ,,,,,,,,,,,
NYS,1997,4,8986277,8394265,592012, 6.6 ,,,,,,,,,,,
NYS,1997,5,9012356,8419436,592920, 6.6 ,,,,,,,,,,,
NYS,1997,6,9033067,8440764,592303, 6.6 ,,,,,,,,,,,
NYS,1997,7,9046902,8457735,589167, 6.5 ,,,,,,,,,,,
NYS,1997,8,9054149,8470816,583333, 6.4 ,,,,,,,,,,,
NYS,1997,9,9056630,8481537,575093, 6.3 ,,,,,,,,,,,
NYS,1997,10,9056832,8490506,566326, 6.3 ,,,,,,,,,,,
NYS,1997,11,9055815,8497555,558260, 6.2 ,,,,,,,,,,,
NYS,1997,12,9054800,8503839,550961, 6.1 ,,,,,,,,,,,
NYS,1998,1,9054056,8510512,543544, 6.0 ,,,,,,,,,,,
NYS,1998,2,9053560,8518256,535304, 5.9 ,,,,,,,,,,,
NYS,1998,3,9052610,8526423,526187, 5.8 ,,,,,,,,,,,
NYS,1998,4,9052004,8535778,516226, 5.7 ,,,,,,,,,,,
NYS,1998,5,9053944,8547055,506889, 5.6 ,,,,,,,,,,,
NYS,1998,6,9059204,8558956,500248, 5.5 ,,,,,,,,,,,
NYS,1998,7,9067021,8569737,497284, 5.5 ,,,,,,,,,,,
NYS,1998,8,9077075,8580366,496709, 5.5 ,,,,,,,,,,,
NYS,1998,9,9088861,8591786,497075, 5.5 ,,,,,,,,,,,
NYS,1998,10,9099746,8603458,496288, 5.5 ,,,,,,,,,,,
NYS,1998,11,9107113,8613449,493664, 5.4 ,,,,,,,,,,,
NYS,1998,12,9109717,8620015,489702, 5.4 ,,,,,,,,,,,
NYS,1999,1,9108381,8623485,484896, 5.3 ,,,,,,,,,,,
NYS,1999,2,9106298,8625245,481053, 5.3 ,,,,,,,,,,,
NYS,1999,3,9106566,8627336,479230, 5.3 ,,,,,,,,,,,
NYS,1999,4,9110450,8630814,479636, 5.3 ,,,,,,,,,,,
NYS,1999,5,9117406,8636073,481333, 5.3 ,,,,,,,,,,,
NYS,1999,6,9126613,8643942,482671, 5.3 ,,,,,,,,,,,
NYS,1999,7,9135573,8653680,481893, 5.3 ,,,,,,,,,,,
NYS,1999,8,9141542,8663902,477640, 5.2 ,,,,,,,,,,,
NYS,1999,9,9143518,8674050,469468, 5.1 ,,,,,,,,,,,
NYS,1999,10,9142895,8684233,458662, 5.0 ,,,,,,,,,,,
NYS,1999,11,9142965,8695676,447289, 4.9 ,,,,,,,,,,,
NYS,1999,12,9145142,8707653,437489, 4.8 ,,,,,,,,,,,
NYS,2000,1,9148772,8718077,430695, 4.7 ,,,,,,,,,,,
NYS,2000,2,9150933,8724877,426056, 4.7 ,,,,,,,,,,,
NYS,2000,3,9149949,8726607,423342, 4.6 ,,,,,,,,,,,
NYS,2000,4,9145145,8723092,422053, 4.6 ,,,,,,,,,,,
NYS,2000,5,9136838,8716038,420800, 4.6 ,,,,,,,,,,,
NYS,2000,6,9126545,8707347,419198, 4.6 ,,,,,,,,,,,
NYS,2000,7,9117373,8700292,417081, 4.6 ,,,,,,,,,,,
NYS,2000,8,9113416,8699324,414092, 4.5 ,,,,,,,,,,,
NYS,2000,9,9116092,8706475,409617, 4.5 ,,,,,,,,,,,
NYS,2000,10,9124683,8721464,403219, 4.4 ,,,,,,,,,,,
NYS,2000,11,9135828,8740180,395648, 4.3 ,,,,,,,,,,,
NYS,2000,12,9145125,8756838,388287, 4.2 ,,,,,,,,,,,
NYS,2001,1,9149403,8766694,382709, 4.2 ,,,,,,,,,,,
NYS,2001,2,9148011,8767790,380221, 4.2 ,,,,,,,,,,,
NYS,2001,3,9141552,8760193,381359, 4.2 ,,,,,,,,,,,
NYS,2001,4,9132763,8745968,386795, 4.2 ,,,,,,,,,,,
NYS,2001,5,9126617,8729233,397384, 4.4 ,,,,,,,,,,,
NYS,2001,6,9125876,8712890,412986, 4.5 ,,,,,,,,,,,
